"name","acronym","link","cfpLink","impLink","source","rank","rating","fieldOfResearch","information","conferenceDates","year","location","cityStateProvince","country","continent","type","submissionDate","notificationDate","cameraReadyDate","registrationDate","otherDate","topics","publisher","summary","callForPapers"
"Web and Big Data","APWEB","https://apweb2025.sau.edu.cn/","https://apweb2025.sau.edu.cn/Call%20for%20Research%20Papers","https://apweb2025.sau.edu.cn/Important%20Dates","","","","","Conference dates: August 28 - 30, 2025
Year: 2025
Location: Shenyang, China
City-State-Province: Shenyang
Country: China
Continent: Asia
Type: Offline
The 1st round of full paper submissions is due on: March 2, 2025
The 2nd round follows with full paper submissions on: May 4, 2025
Industry Papers and Demo Papers have full paper submissions due on: May 11, 2025
acceptance notifications by: June 23, 2025
camera-ready versions required by: May 4, 2025
camera-ready versions by: July 6, 2025
camera-ready versions also due by: July 6, 2025
Topics: Web technologies, Data management, Web-based systems, Semantic web, Web mining, Social networks, Database systems, Big data, Data mining, Information retrieval, Artificial intelligence, Machine learning, Cloud computing, Distributed systems, Security and privacy
Publisher: Springer","August 28 - 30, 2025","2025","Shenyang, China","Shenyang","China","Asia","Offline","{""The 1st round of full paper submissions is due on"":""March 2, 2025"",""The 2nd round follows with full paper submissions on"":""May 4, 2025"",""Industry Papers and Demo Papers have full paper submissions due on"":""May 11, 2025""}","{""acceptance notifications by"":""June 23, 2025""}","{""camera-ready versions required by"":""May 4, 2025"",""camera-ready versions by"":""July 6, 2025"",""camera-ready versions also due by"":""July 6, 2025""}","{}","{}","Web technologies, Data management, Web-based systems, Semantic web, Web mining, Social networks, Database systems, Big data, Data mining, Information retrieval, Artificial intelligence, Machine learning, Cloud computing, Distributed systems, Security and privacy","Springer","The 9th APWeb-WAIM joint International Conference on Web and Big Data (APWeb-WAIM 2025) will be held in Shenyang, China, from August 28-30, 2025.  The conference merges APWeb and WAIM, providing a platform for researchers, practitioners, and industry professionals to exchange ideas and present research on web technologies, data management, and related areas.  The proceedings will be published by Springer.","No call for papers available"
"International Conference on Availability, Reliability and Security","ARES","https://2025.ares-conference.eu/","None","None","","","","","Information of ARES: No information available","","","","","","","","{}","{}","{}","{}","{}","","","",""
"IEEE Symposium on Computer Arithmetic","ARITH","https://www.arith2025.org/","https://www.arith2025.org/call-for-papers","None","","","","","Conference dates: May 4 - 7, 2025
Year: 2025
Location: University of Texas at El Paso, El Paso, TX, USA
City-State-Province: El Paso, Texas
Country: United States
Continent: North America
Type: Offline
First day of registration: February 17, 2025
Early registration until: April 4, 2025
Late registration until: May 3, 2025
Onsite registration: May 4 - 7, 2025
Topics: Computer Arithmetic, Artificial Intelligence, High-performance Computing, Signal Processing, Security","May 4 - 7, 2025","2025","University of Texas at El Paso, El Paso, TX, USA","El Paso, Texas","United States","North America","Offline","{}","{}","{}","{""First day of registration"":""February 17, 2025"",""Early registration until"":""April 4, 2025"",""Late registration until"":""May 3, 2025"",""Onsite registration"":""May 4 - 7, 2025""}","{}","Computer Arithmetic, Artificial Intelligence, High-performance Computing, Signal Processing, Security","","The 32nd IEEE International Symposium on Computer Arithmetic (ARITH 2025) will be held in El Paso, TX, USA from May 4-7, 2025.  The symposium serves as the flagship conference for presenting scientific work on the latest research in computer arithmetic.","No call for papers available"
"International Symposium on Artificial Life and Robotics","AROB","https://isarob.org/symposium/","https://isarob.org/symposium/","https://isarob.org/symposium/","","","","","Conference dates: January 22 - 24, 2025
Year: 2025
Location: B-Con PLAZA, Beppu, JAPAN
City-State-Province: Beppu
Country: Japan
Continent: Asia
Type: Offline
Deadline for Abstract Submission for review: October 28, 2024
Deadline for OS Proposal: October 21, 2024
Deadline for Final Camera-Ready Papers: December 23, 2024
Deadline for Early Registration: December 16, 2024
Registration Deadline for Presenters: December 16, 2024
Deadline of a full paper submission: August 31, 2024
Notification of acceptance: November 6, 2024
Notification of Acceptance: November 29, 2024
Final paper submission: December 16, 2024
Topics: Artificial Life, Robotics, Computer Simulations, Hardware Designs","January 22 - 24, 2025","2025","B-Con PLAZA, Beppu, JAPAN","Beppu","Japan","Asia","Offline","{""Deadline for Abstract Submission for review"":""October 28, 2024"",""Deadline for OS Proposal"":""October 21, 2024"",""Deadline for Final Camera-Ready Papers"":""December 23, 2024"",""Deadline for Early Registration"":""December 16, 2024"",""Registration Deadline for Presenters"":""December 16, 2024"",""Deadline of a full paper submission"":""August 31, 2024""}","{""Notification of acceptance"":""November 6, 2024"",""Notification of Acceptance"":""November 29, 2024""}","{""Final paper submission"":""December 16, 2024""}","{}","{}","Artificial Life, Robotics, Computer Simulations, Hardware Designs","","The 30th International Symposium on Artificial Life and Robotics (AROB 30th 2025) and the 10th International Symposium on BioComplexity (ISBC 10th 2025) will be held from January 22-24, 2025, at B-Con PLAZA in Beppu, Japan.  The symposium invites original research and discussions on new technologies concerning artificial life and robotics.","# AROB-ISBC 2025: Call for Papers

The 30th International Symposium on Artificial Life and Robotics (AROB 30th 2025) and the 10th International Symposium on BioComplexity (ISBC 10th 2025) will be held from **January 22-24, 2025, at B-Con PLAZA, Beppu, JAPAN.**

This symposium invites you to present original research and discuss the development of new technologies concerning artificial life and robotics based on computer simulations and hardware designs of state-of-the-art technologies.

## Important Dates

*   **Deadline for Abstract Submission for review:** October 28, 2024 (24:00 UTC)
*   **Deadline for OS Proposal:** October 21, 2024 (24:00 UTC)
*   **Notification of acceptance:** November 6, 2024
*   **Deadline for Final Camera-Ready Papers:** December 23, 2024 (24:00 UTC)
*   **Deadline for Early Registration:** December 16, 2024 (24:00 UTC)
*   **Registration Deadline for Presenters:** December 16, 2024 (24:00 UTC)

## Journal Track

A unique feature of the AROB Journal is the opportunity for authors to publish a full paper in a peer-reviewed journal and present the same paper at the conference.

*   Papers for the General Sessions are eligible for this option.
*   Regardless of the acceptance or rejection of the journal paper, in-person participation and presentation are required if the symposium paper is accepted.

### Schedule

*   **Full paper submission (Max. 12 pages):** August 31, 2024
*   **Notification of Acceptance:** November 29, 2024
*   **Final paper submission:** December 16, 2024

The accepted papers will be published in AROB Journal vol. 30, no. 1, 2025. If the final document is not sent to Springer by December 25, 2024, it will be published in another number. If the decision is not determined by November 29, 2024, the review process will continue as a usual paper of AROB Journal.

## Sponsors

*   The Society of Instrument and Control Engineers
*   The Robotics Society of Japan
*   The Institute of Electronics, Information and Communication Engineers
*   The Institute of Systems, Control and Information Engineers
*   Japan Society for Simulation Technology
*   The Institute of Electrical Engineers of Japan
*   IEEE Robotics and Automation Society Japan Chapter"
"Automated Software Engineering Conference","ASE","https://conf.researchr.org/home/ase-2025","https://conf.researchr.org/home/ase-2025","https://conf.researchr.org/home/ase-2025","","","","","Conference dates: November 16 - 20, 2025
Year: 2025
Location: Seoul, South Korea
City-State-Province: Seoul
Country: South Korea
Continent: Asia
Type: Offline
Paper Submission: May 30, 2025
Workshop Proposal Submission: April 4, 2025
NIER Track Paper Submission: July 12, 2025
Tutorials Submission Deadline: June 13, 2025
Workshop Proposal Notification: April 25, 2025
Tutorials Proposal Notification: June 27, 2025
Tutorials Advertisement Material: July 11, 2025
AIware Research Papers Intent Registration (Optional): July 15, 2025
Topics: Automated Software Engineering","November 16 - 20, 2025","2025","Seoul, South Korea","Seoul","South Korea","Asia","Offline","{""Paper Submission"":""May 30, 2025"",""Workshop Proposal Submission"":""April 4, 2025"",""NIER Track Paper Submission"":""July 12, 2025"",""Tutorials Submission Deadline"":""June 13, 2025""}","{""Workshop Proposal Notification"":""April 25, 2025"",""Tutorials Proposal Notification"":""June 27, 2025""}","{}","{}","{""Tutorials Advertisement Material"":""July 11, 2025"",""AIware Research Papers Intent Registration (Optional)"":""July 15, 2025""}","Automated Software Engineering","","The 40th IEEE/ACM International Conference on Automated Software Engineering (ASE 2025) will be held in Seoul, South Korea, from November 16-20, 2025.  The conference is the premier research forum for Automated Software Engineering, bringing together researchers and practitioners to discuss foundations, techniques, and tools for automating software development.","# ASE 2025: Call for Papers

The 40th IEEE/ACM International Conference on Automated Software Engineering (ASE 2025) will be held in **Seoul, South Korea, from November 16-20, 2025** at the **Grand Walkerhill Seoul**.

## Tracks

ASE 2025 includes the following tracks:

*   Research Papers
*   Journal-First Track
*   Industry Showcase
*   New Ideas and Emerging Results Track
*   Tool Demonstration Track
*   Workshops
*   Doctoral Symposium
*   Student Research Competition
*   Tutorials

## Important Dates

*   **Workshop Proposal Submission:** April 4, 2025
*   **Workshop Proposal Notification:** April 25, 2025
*   **Paper Submission:** May 30, 2025
*   **Tutorials Submission Deadline:** June 13, 2025
*   **Tutorials Proposal Notification:** June 27, 2025
*   **Tutorials Advertisement Material:** July 11, 2025
*   **NIER Track Paper Submission:** July 12, 2025
*   **AIware Research Papers Intent Registration (Optional):** July 15, 2025

For all important dates, please refer to the [All important dates](All important dates) page."
"IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining","ASONAM","https://asonam.cpsc.ucalgary.ca/2025/","https://asonam.cpsc.ucalgary.ca/2025/calls/call-for-papers-research-track","https://asonam.cpsc.ucalgary.ca/2025/key-dates","","","","","Conference dates: August 25 - 28, 2025
Year: 2025
Location: Niagara Falls, Ontario, Canada
City-State-Province: Niagara Falls, Ontario
Country: Canada
Continent: North America
Type: Offline
Topics: Social Network Analysis and Mining, Graph Theory, Machine Learning","August 25 - 28, 2025","2025","Niagara Falls, Ontario, Canada","Niagara Falls, Ontario","Canada","North America","Offline","{}","{}","{}","{}","{}","Social Network Analysis and Mining, Graph Theory, Machine Learning","","The 17th International Conference on Advances in Social Networks Analysis and Mining (ASONAM 2025) will be held in Niagara Falls, Ontario, Canada, from August 25-28, 2025.  The conference will bring together practitioners and researchers from a variety of SNAM fields to promote collaborations and exchange of ideas and practices.","No call for papers available"
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)","ArtsIT","https://artsit.eai-conferences.org/2025/","https://artsit.eai-conferences.org/2025/calls/main-track/","https://artsit.eai-conferences.org/2025/","","","","","Conference dates: November 7 - 9, 2025
Year: 2025
Location: Heriot-Watt University Dubai, UAE
City-State-Province: Dubai
Country: United Arab Emirates
Continent: Asia
Type: Offline
Full Paper Submission deadline: June 1, 2025
Notification deadline: August 15, 2025
Camera-ready deadline: September 30, 2025
Topics: Art, Information Technology, Digital Artworks, Cultural Heritage, Audio Art, Games, Gamification, Immersive Technologies, Interactive Art Installations, Virtualization, Artificial Intelligence, Big Data, Virtual Reality, Metaverse
Publisher: Springer","November 7 - 9, 2025","2025","Heriot-Watt University Dubai, UAE","Dubai","United Arab Emirates","Asia","Offline","{""Full Paper Submission deadline"":""June 1, 2025""}","{""Notification deadline"":""August 15, 2025""}","{""Camera-ready deadline"":""September 30, 2025""}","{}","{}","Art, Information Technology, Digital Artworks, Cultural Heritage, Audio Art, Games, Gamification, Immersive Technologies, Interactive Art Installations, Virtualization, Artificial Intelligence, Big Data, Virtual Reality, Metaverse","Springer","The 14th EAI International Conference: ArtsIT, Interactivity & Game Creation will be held from November 7-9, 2025, at Heriot-Watt University Dubai, UAE. ArtsIT brings together researchers, practitioners, artists, and academics to explore the dynamic relationship between art and information technology.","# EAI ArtsIT 2025: Call for Papers

The 14th EAI International Conference: ArtsIT, Interactivity & Game Creation will be held from **November 7-9, 2025**, at **Heriot-Watt University Dubai, UAE**.

ArtsIT brings together a diverse international community of researchers, practitioners, artists, and academics from various disciplines to explore the dynamic relationship between art and information technology across a range of distinct domains.

## Call for Papers: Main Track

The main track includes topics such as digital artworks and cultural heritage, audio art, games and gamification, immersive technologies, and interactive art installations.  The conference also dedicates attention to recent advancements that have made significant contributions to the field in recent years, such as virtualization, artificial intelligence and big data, virtual reality and the metaverse, with dedicated sessions.

## Special Tracks

This year, ArtsIT 2025 features several special tracks.  The calls for papers for each special track can be found on the conference website.

## Important Dates

*   **Full Paper Submission deadline:** June 1, 2025
*   **Notification deadline:** August 15, 2025
*   **Camera-ready deadline:** September 30, 2025

## Publication

All registered papers will be submitted for publishing by Springer – LNICST series and made available through SpringerLink Digital Library: ArtsIT Conference Proceedings. Proceedings will be submitted for inclusion in leading indexing services, such as Web of Science, Compendex, Scopus, DBLP, EU Digital Library, Google Scholar, IO-Port, MathSciNet, Inspec, and Zentralblatt MATH.

## Available Journals

All accepted authors are eligible to submit an extended version in a fast track of:

*   EAI Endorsed Transactions on Creative Technologies
*   EAI Endorsed Transactions on AI and Robotics

By paying an additional $150, authors can publish their articles in the EAI Endorsed Transactions journal selected by the conference (Scopus and Ei-indexed): EAI Endorsed Transactions on Internet of Things (Scopus)."
"Asia Conference on Information, Computer and Communications Security","AsiaCCS","https://asiaccs2025.hust.edu.vn/","https://asiaccs2025.hust.edu.vn/call-for-papers/","https://asiaccs2025.hust.edu.vn/calls/","","","","","Conference dates: August 25 - 29, 2025
Year: 2025
Location: Ha Noi, Vietnam
City-State-Province: Ha Noi
Country: Vietnam
Continent: Asia
Type: Offline
(Cycle 1 Deadline) Paper Submission Deadline: September 20, 2024
(Cycle 2 Deadline) Paper Submission Deadline: January 20, 2025
(Cycle 1 Deadline) Author Notification: December 13, 2024
(Cycle 2 Deadline) Author Notification: April 19, 2025
(Cycle 1 Deadline) Camera Ready: January 11, 2025
(Cycle 2 Deadline) Camera Ready: May 25, 2025
(Cycle 1 Deadline) Early Rejection: October 25, 2024
(Cycle 2 Deadline) Early Rejection: February 28, 2025
Topics: Computer and Communications Security, Security and Privacy","August 25 - 29, 2025","2025","Ha Noi, Vietnam","Ha Noi","Vietnam","Asia","Offline","{""(Cycle 1 Deadline) Paper Submission Deadline"":""September 20, 2024"",""(Cycle 2 Deadline) Paper Submission Deadline"":""January 20, 2025""}","{""(Cycle 1 Deadline) Author Notification"":""December 13, 2024"",""(Cycle 2 Deadline) Author Notification"":""April 19, 2025""}","{""(Cycle 1 Deadline) Camera Ready"":""January 11, 2025"",""(Cycle 2 Deadline) Camera Ready"":""May 25, 2025""}","{}","{""(Cycle 1 Deadline) Early Rejection"":""October 25, 2024"",""(Cycle 2 Deadline) Early Rejection"":""February 28, 2025""}","Computer and Communications Security, Security and Privacy","","The 20th ACM ASIA Conference on Computer and Communications Security (ACM ASIACCS 2025) will be held in Hanoi, Vietnam from August 25-29, 2025.  The conference seeks paper submissions presenting novel contributions related to all real-world aspects of security and privacy.","# ACM ASIACCS 2025: Call for Papers

The 20th ACM ASIA Conference on Computer and Communications Security (ACM ASIACCS 2025) will be held in **Hanoi, Vietnam from August 25-29, 2025**.

## Call for Papers

ACM ASIACCS 2025 seeks paper submissions presenting novel contributions related to all real-world aspects of security and privacy. We seek articles presenting accessible and compelling results to general computer security researchers. Purely theoretical submissions are not encouraged. The same goes for submissions focusing primarily on blockchains or machine learning.

We will also be accepting “Systematization of Knowledge” (SoK) papers. SoK submissions need to add the prefix “SoK: ” in the title. They will be accepted based on the value to the community. Survey papers without insights evaluating, systematizing, and contextualizing current knowledge will be rejected.

## Important Dates

### Cycle 1 Deadline

*   **Paper Submission:** September 20, 2024 (AoE)
*   **Early Rejection:** October 25, 2024
*   **Author Notification:** December 13, 2024
*   **Camera Ready:** January 11, 2025

### Cycle 2 Deadline

*   **Paper Submission:** January 20, 2025 (AoE)
*   **Early Rejection:** February 28, 2025
*   **Author Notification:** April 19, 2025
*   **Camera Ready:** May 25, 2025

## Submission Instructions

Please read the instructions below before submitting your paper. Please get in touch with the PC chairs at asiaccs2025-pc-chairs@acm.org for any questions regarding the submissions.

### Paper Formatting

Technical papers submitted for ASIACCS must be written in English. Papers must be in PDF format and at most 12 pages double-column. We will allow up to 10 additional pages for the bibliography and well-marked appendices, but note that reviewers are not expected to read the appendices. Authors should prepare the submissions using the latest ACM Sigconf style conference template. All fonts, images, tables, and figures must comply with common standards and not generate problems for reviewers. Titles of SoK papers must begin with “SoK:” Submissions not meeting the formatting requirements risk rejection without consideration of their merits.

### Conflicts of Interest

When submitting the paper, authors must declare the conflict of interest (COI) with the Program Committee members, including the chairs. Those who are considered COI include:

*   Anyone who shares an institutional affiliation with an author of the paper at the time of submission.
*   Anyone who was the advisor or advisee of an author at any time in the past.
*   Anyone the author has collaborated with or published within the prior two years.

PC members, including chairs with a conflict of interest with a paper, will be entirely excluded from the evaluation of that paper. Failure to declare COI or declaring fake COI can lead to the paper being rejected. If a PC member with COI reviews a paper, it will be rejected.

### Anonymous Submissions

ASIACCS employs a double-blind reviewing process. All submissions should be appropriately anonymized. Author names and affiliations should not appear in the paper. The authors should avoid obvious self-references and should appropriately blind them if used. The list of authors cannot be changed (but the order can be) after the submission is made unless approved by the Program Chairs. Publishing the submission on a preprint repository, such as arXiv, is allowed, but authors should refrain from broadly advertising their results (e.g., social media, seminars, etc.) and may not contact TPC members regarding their submitted work.

### Double and Concurrent Submissions

Submissions to ASIACCS 2025 must not substantially overlap with papers that are published or simultaneously submitted to other venues with proceedings (including journals or conferences/workshops). Double submission will result in immediate rejection. We may report detected violations to other conference chairs and journal editors.

### Ethical Considerations

The authors should clarify any potential ethical and legal concerns to their results, highly critical vulnerabilities or exploits, etc. The authors should provide evidence (beyond approval of the experiment by their institution) elaborating how they have thoroughly considered such issues. The Program Committee reserves the right to reject a submission if the authors present insufficient evidence that the study appropriately addressed ethical or relevant legal concerns.

### Early Rejection and Appeals

There will be no conventional rebuttal process. Papers that receive substantially negative initial reviews will be rejected early. The authors of early-rejected papers, and only such papers, will receive a copy of their initial reviews. Authors who substantively disagree with the reviews can appeal to the PC chairs within 72 hours upon receipt of the notification email. Authors’ appeals must clearly and explicitly identify substantial disagreements with factual statements in the initial reviews that should be adjudicated by a particular arbitration reviewer who the PC chairs may recruit. Appealing a submission that was rejected early will keep it under consideration, and it cannot be withdrawn or resubmitted elsewhere until the final notification of acceptance or rejection.

### Paper Revision and Resubmission

Rejected papers in the Cycle 1 cannot be resubmitted in the Cycle 2. A small number of the Cycle 1 submissions may receive a Revise decision, rather than Accept or Reject and may be revised and resubmitted together with the response to reviewers’ comments into the same HOTCRP submission server. The revision may include running additional experiments, improving the paper’s presentation, or other improvements. Papers meeting the expectations will typically be accepted. We will request additional revisions only in exceptional circumstances.

### Camera-Ready and Conference Presentation

If a paper is accepted, the author list in the submission cannot be changed when preparing the camera-ready version. Authors of accepted papers must also guarantee that their papers will be presented at the conference. At least one author of the paper must be registered at the appropriate full conference rate.

## Contact

For any questions related to paper submissions, please contact the PC chairs at asiaccs2025-pc-chairs@acm.org."
"International Conference on the Theory and Application of Cryptology and Information Security","ASIACRYPT","https://asiacrypt.iacr.org/2025/","https://asiacrypt.iacr.org/2025/cfp.php","https://asiacrypt.iacr.org/2025/","","","","","Conference dates: December 8 - 12, 2025
Year: 2025
Location: Melbourne, Australia
City-State-Province: Melbourne
Country: Australia
Continent: Oceania
Type: Offline
Submission deadline at 12:00 GMT: May 16, 2025
First round notification: July 13, 2025
Final notification: August 10, 2025
Camera-ready version due: September 10, 2025
Rebuttals due: July 18, 2025
End of interactive rebuttals: July 25, 2025
Website launched: March 10, 2025
The call for affiliated events has been added: March 17, 2025
Topics: No topics available","December 8 - 12, 2025","2025","Melbourne, Australia","Melbourne","Australia","Oceania","Offline","{""Submission deadline at 12:00 GMT"":""May 16, 2025""}","{""First round notification"":""July 13, 2025"",""Final notification"":""August 10, 2025""}","{""Camera-ready version due"":""September 10, 2025""}","{}","{""Rebuttals due"":""July 18, 2025"",""End of interactive rebuttals"":""July 25, 2025"",""Website launched"":""March 10, 2025"",""The call for affiliated events has been added"":""March 17, 2025""}","No topics available","","Asiacrypt 2025 will take place in Melbourne, Australia on December 8-12, 2025.  It is organized by the International Association for Cryptologic Research (IACR).","No call for papers available"
"National Conference of The Australian Society for Operations Research","ASOR","https://conference.unsw.edu.au/en/the-51st-international-conference-on-computers-and-industrial-engineering","https://conference.unsw.edu.au/en/the-51st-international-conference-on-computers-and-industrial-engineering#","https://conference.unsw.edu.au/en/the-51st-international-conference-on-computers-and-industrial-engineering#","","","","","Conference dates: December 9 - 11, 2024
Year: 2024
Location: Colombo Building, Kensington Campus, UNSW Sydney, Sydney, Australia
City-State-Province: Sydney, New South Wales
Country: Australia
Continent: Oceania
Type: Offline
Special Session Submission Deadline: May 15, 2024
Full Paper Submission Deadline: August 4, 2024
Abstract Submission Deadline: August 15, 2024
Acceptance Notification: August 21, 2024
Early Bird Registration Deadline: September 6, 2024
Final Paper Submission Deadline: September 30, 2024
Final Date to Register: November 25, 2024
Topics: Industrial Engineering, Supply Chain Management, Operations Management, Computer Science, Manufacturing, Management, Smart Manufacturing Systems, Additive Manufacturing, 3D printing, Industrial Internet of Things, Cyber-Physical Systems, Humanitarian and Emergency Logistics, Simulation Optimization & Applications, Manufacturing Innovation, Resilient Smart Factories, Reliability Engineering, Predictive Maintenance, Human Factors Engineering, Ergonomics, E-Business, E-Commerce, Sustainable and Smart Transportation Systems, Quality Control and Management, Decision Support Systems, Production Planning, Operations Scheduling, Technology and Knowledge Management, Digital Transformation, Advanced Engineering Simulations, Defence Technologies, Engineering Management, Big Data Analytics & Applications, Resilience Supply Chains and Logistics Model, Operations Research and Optimization, Facilities Planning and Design, Lean Manufacturing, Six Sigma, Design for X, Data Mining, Business Intelligence, Artificial Intelligence and Machine learning applications, Product Process, Service, and Software Design Management, Reverse Engineering, Smart Cities Management Models, Healthcare Management Systems, Sustainable Supply Chain Management, Project Management and Control, Enterprise Resource Planning Systems, Circular Economics, Optimization of renewable energy resources, Vehicle routing, Workforce planning, Assembly line balancing
Publisher: Curran & Associates","December 9 - 11, 2024","2024","Colombo Building, Kensington Campus, UNSW Sydney, Sydney, Australia","Sydney, New South Wales","Australia","Oceania","Offline","{""Special Session Submission Deadline"":""May 15, 2024"",""Full Paper Submission Deadline"":""August 4, 2024"",""Abstract Submission Deadline"":""August 15, 2024""}","{""Acceptance Notification"":""August 21, 2024""}","{}","{""Early Bird Registration Deadline"":""September 6, 2024"",""Final Paper Submission Deadline"":""September 30, 2024"",""Final Date to Register"":""November 25, 2024""}","{}","Industrial Engineering, Supply Chain Management, Operations Management, Computer Science, Manufacturing, Management, Smart Manufacturing Systems, Additive Manufacturing, 3D printing, Industrial Internet of Things, Cyber-Physical Systems, Humanitarian and Emergency Logistics, Simulation Optimization & Applications, Manufacturing Innovation, Resilient Smart Factories, Reliability Engineering, Predictive Maintenance, Human Factors Engineering, Ergonomics, E-Business, E-Commerce, Sustainable and Smart Transportation Systems, Quality Control and Management, Decision Support Systems, Production Planning, Operations Scheduling, Technology and Knowledge Management, Digital Transformation, Advanced Engineering Simulations, Defence Technologies, Engineering Management, Big Data Analytics & Applications, Resilience Supply Chains and Logistics Model, Operations Research and Optimization, Facilities Planning and Design, Lean Manufacturing, Six Sigma, Design for X, Data Mining, Business Intelligence, Artificial Intelligence and Machine learning applications, Product Process, Service, and Software Design Management, Reverse Engineering, Smart Cities Management Models, Healthcare Management Systems, Sustainable Supply Chain Management, Project Management and Control, Enterprise Resource Planning Systems, Circular Economics, Optimization of renewable energy resources, Vehicle routing, Workforce planning, Assembly line balancing","Curran & Associates","The 51st International Conference on Computers and Industrial Engineering (CIE51) will be co-hosted by UNSW Canberra and the University of Adelaide from December 9th to 11th, 2024, at UNSW Sydney.  The conference aims to gather researchers to disseminate and discuss state-of-the-art advancements in industrial engineering and related fields.  The conference proceedings will be published by Curran & Associates and extended versions of selected articles will be published in a special issue of the Elsevier Computers and Industrial Engineering Journal.","# CIE51: Call for Papers

The 51st International Conference on Computers and Industrial Engineering (CIE51) will be held at the **UNSW Sydney, Kensington Campus, Sydney, Australia from December 9th to 11th, 2024.**

CIE51 aims to gather researchers to disseminate and discuss state-of-the-art advancements in the areas of Industrial Engineering, supply chain management, operations management, Computer science, Manufacturing, Management, and other related areas.

## Conference Theme

""Towards Smart, Sustainable, and Resilient Systems""

## Topics of Interest

The CIE51 program will include guest speakers, a peer-reviewed technical program, demos, short papers, posters, invited sessions, industrial presentations, and exhibitions around the following topics:

*   Smart Manufacturing Systems
*   Additive Manufacturing and 3D printing
*   Industrial Internet of Things
*   Cyber-Physical Systems
*   Humanitarian and Emergency Logistics
*   Simulation Optimization & Applications
*   Manufacturing Innovation
*   Resilient Smart Factories
*   Reliability Engineering and Predictive Maintenance
*   Human Factors Engineering and Ergonomics
*   E-Business and E-Commerce
*   Sustainable and Smart Transportation Systems
*   Quality Control and Management
*   Decision Support Systems
*   Production Planning and Operations Scheduling
*   Technology and Knowledge Management
*   Digital Transformation
*   Advanced Engineering Simulations
*   Defence Technologies
*   Engineering Management
*   Big Data Analytics & Applications
*   Resilience Supply Chains and Logistics Model
*   Operations Research and Optimization
*   Facilities Planning and Design
*   Lean Manufacturing and Six Sigma
*   Design for X
*   Data Mining and Business Intelligence
*   Artificial Intelligence and Machine learning applications
*   Product Process, Service, and Software Design Management
*   Reverse Engineering
*   Smart Cities Management Models
*   Healthcare Management Systems
*   Sustainable Supply Chain Management
*   Project Management and Control
*   Enterprise Resource Planning Systems
*   Circular Economics
*   Optimization of renewable energy resources
*   Vehicle routing
*   Workforce planning
*   Assembly line balancing

## Paper Options

CIE51 offers two options for paper submissions and publications at the same registration rate:

1.  **Full papers:** Reviewed for presentation at the conference and publication in the conference proceedings. Selected full papers will be considered for special issues.
2.  **Abstracts (only):** Reviewed for presentation at the conference, without publication in the conference proceedings.

All papers submitted to this conference will be peer-reviewed.

## Special Sessions

The CIE51 will feature fifteen special sessions to facilitate focused discussions on new topics or innovative applications. Authors are requested to select/mention the right special session track while submitting their full paper.

## Submission Guidelines

Prospective authors are invited to submit original technical papers to CIE51 that are not under review for any other conference or journal at the same time. All submissions should be written in English with a maximum length of 10 pages (including references and appendix, if any). Only PDF files will be accepted. Only accepted full papers will be considered for the CIE51 proceedings and special issues. Accepted abstracts will only be included in the program schedule.

## Important Dates

*   **Special Session Submission Deadline:** May 15, 2024
*   **Full Paper Submission Deadline:** August 4, 2024
*   **Abstract Submission Deadline:** August 15, 2024
*   **Acceptance Notification:** August 21, 2024
*   **Early Bird Registration Deadline:** September 6, 2024
*   **Final Paper Submission Deadline:** September 30, 2024
*   **Final Date to Register:** November 25, 2024
*   **Conference Date:** December 9 - 11, 2024

## Proceedings and Special Issue

Conference proceedings will be published by Curran & Associates and posted on the website [https://www.computers-and-ie.org/](https://www.computers-and-ie.org/). Extended versions of selected articles will be published in a special issue of the Elsevier Computers and Industrial Engineering Journal."
